name,value,alias
one,"(x > 1.00) and (x <= 1.20)","1.00-1.20"
two,"((x > 1.20) and (x <= 1.30)) or ((x > 0.90) and (x <= 1.00))","1.20-1.30, 0.90-1.00"
three,"(x > 1.30) and (x <= 1.40)","1.30-1.40"
four,"(x > 1.40) and (x <= 1.50)","1.40-1.50"
five,"(x <= 0.90) or (x > 1.50)",">1.50, ≤0.90"
none,"x == -9999","/"
