name,value,alias
one,"(x > 2.0)",">2.0"
two,"(x > 1.5) and (x <= 2.0)","1.5-2.0"
three,"(x > 1.0) and (x <= 1.5)","1.0-1.5"
four,"(x > 0.75) and (x <= 1.0)","0.75-1.0"
five,"(x <= 0.75)","≤0.75"
none,"x == -9999","/"
