name,value,alias
one,"(x > 0.20)",">0.20"
two,"(x > 0.15) and (x <= 0.20)","0.15-0.20"
three,"(x > 0.10) and (x <= 0.15)","0.10-0.15"
four,"(x > 0.05) and (x <= 0.10)","0.05-0.10"
five,"(x <= 0.05)","≤0.05"
none,"x == -9999","/"
