name,value,alias
one,"(x > 2.00)",">2.00"
two,"(x > 1.00) and (x <= 2.00)","1.00-2.00"
three,"(x > 0.50) and (x <= 1.00)","0.50-1.00"
four,"(x > 0.25) and (x <= 0.50)","0.25-0.50"
five,"(x <= 0.25)","≤0.25"
none,"x == -9999","/"
