name,value,alias
one,"(x > 1.80)",">1.80"
two,"(x > 1.00) and (x <= 1.80)","1.00-1.80"
three,"(x > 0.20) and (x <= 1.00)","0.20-1.00"
four,"(x > 0.10) and (x <= 0.20)","0.10-0.20"
five,"(x <= 0.10)","≤0.10"
none,"x is None","/"
