name,value,alias
one,"(x > 0.30) and (x <= 0.35)","30%~35%"
two,"(x > 0.35) and (x <= 0.40)","35%~40%"
three,"(x > 0.40) and (x <= 0.45)","40%~45%"
four,"(x > 0.45) and (x <= 0.50)","45%~50%"
five,"x > 0.50",">50%"
none,"x is None","/"
