name,value,alias
one,"x >= 35",">35.00"
two,"(x >= 25) and (x < 35)","25.00-35.00"
three,"(x >= 15) and (x < 25)","15.00-25.00"
four,"(x > 10) and (x < 15)","10-15"
five,"x <= 10","≤10.00"
none,"x is None","/"
