name,value,alias
one,"(x > 20) and (x <= 25)","20%~25%"
two,"(x > 25) and (x <= 30)","25%~30%"
three,"(x > 30) and (x <= 35)","30%~35%"
four,"x > 35",">35%"
none,"x == -9999","/"
