name,value,alias
one,"(x > 40.00)",">40.00"
two,"(x > 30.00) and (x <= 40.00)","30.00-40.00"
three,"(x > 20.00) and (x <= 30.00)","20.00-30.00"
four,"(x > 10.00) and (x <= 20.00)","10.00-20.00"
five,"(x <= 10.00)","≤10.00"
none,"x is None","/"
