name,value,alias
one,"(x > 30.0)",">30.0"
two,"(x > 20.0) and (x <= 30.0)","20.0-30.0"
three,"(x > 10.0) and (x <= 20.0)","10.0-20.0"
four,"(x > 5.0) and (x <= 10.0)","5.0-10.0"
five,"(x <= 5.0)","≤5.0"
none,"x == -9999","/"
