name,value,alias
one,"(x > 0.20) and (x <= 0.25)","20%~25%"
two,"(x > 0.25) and (x <= 0.30)","25%~30%"
three,"(x > 0.30) and (x <= 0.35)","30%~35%"
four,"x > 0.35",">35%"
none,"x is None","/"
